Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,datetime
0.152,0.124,241.2,0.8,0,0,1,8/16/2008 13:14
0.242,0,239.55,1,0,0,1,1/29/2010 21:36
0.334,0.072,243.01,1.6,0,0,1,9/5/2010 17:46
1.35,0,242.27,5.6,0,0,19,3/26/2010 9:52
1.404,0.206,238.85,5.8,0,0,18,9/15/2009 11:41
0.142,0.056,240.93,0.6,0,0,1,9/21/2010 3:50
1.644,0.15,239.24,6.8,0,1,18,10/9/2010 20:22
1.724,0.076,237.76,7.2,0,0,18,3/29/2009 19:50
0.546,0.064,240.11,2.2,0,0,1,7/4/2008 21:53
0.37,0.186,240.1,1.8,0,1,0,7/4/2007 0:45
0.326,0.106,240.61,1.4,0,0,0,11/9/2007 4:20
0.082,0,242.14,0.2,0,0,1,8/23/2008 4:35
0.408,0.248,244.66,1.8,0,1,0,1/5/2008 5:49
1.692,0.1,239.7,7,0,0,18,10/25/2009 22:16
0.878,0.328,238.89,4.2,0,1,0,4/10/2007 20:23
0.316,0.208,234.67,1.6,0,0,1,8/2/2008 22:02
3.832,0,242.19,15.8,0,39,18,12/2/2009 11:51
3.734,0.328,237.67,15.6,0,37,17,3/17/2008 12:04
0.238,0.132,240.63,1,0,0,1,8/6/2009 10:01
0.29,0.058,238.09,1.2,0,0,1,5/26/2009 3:42
1.536,0.09,242.47,6.4,0,2,18,3/5/2007 14:10
1.826,0,236.75,7.6,0,0,18,9/21/2007 7:16
0.524,0.404,247.4,2.6,0,1,1,1/28/2010 15:42
0.32,0.092,240.8,1.4,0,0,1,8/27/2010 1:55
0.26,0,244.24,1,0,0,0,4/20/2008 8:46
1.164,0.326,238.64,5,1,0,0,7/5/2007 20:57
1.37,0.058,242.46,5.6,0,0,18,11/7/2007 2:35
0.196,0,242.28,1,0,0,1,8/5/2010 19:55
1.498,0.09,245.25,6.8,0,21,1,12/9/2009 16:07
0.35,0.092,241.45,1.4,0,0,1,10/25/2010 14:14
0.238,0.152,239.25,1.4,0,1,0,6/23/2007 1:50
0.264,0,245.66,1,0,0,0,12/10/2007 2:34
1.596,0.116,240.91,6.6,0,0,0,2/24/2010 18:26
0.204,0,241.39,0.8,0,0,0,10/30/2007 11:46
1.43,0,241.55,5.8,1,0,19,12/3/2009 9:13
0.29,0.092,238.91,1.2,0,3,0,7/30/2009 8:55
0.204,0,242.07,0.8,0,0,0,10/30/2007 4:00
